product_name,model_code,monthly_price_text,original_price_text,discount_text,detail_url,image_url,image_local_path,page_number
LG StanbyME2 รุ่น 27LX6TDGA | Super Portable Screen | Motion Art,27LX6TDGA,฿324,฿649,Subscription,https://www.lg.com/th/lifestyle-screens/stanbyme/27lx6tdga/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/tv/2025/lifestyle-screen/27lx6tdga-atm/gallery/basic/stanbyme2-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\27LX6TDGA.jpg,1
แอร์อินเวอร์เตอร์ LG DUALCOOL รุ่น IXY13A,IXY13A,฿549,฿549,Subscription,https://www.lg.com/th/air-conditioner-inverter/energy-saving-air-conditioner/ixy13a/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-conditioner/2026/ixya/gallery/IXY11A_front_450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\IXY13A.jpg,1
เครื่องดูดฝุ่น LG CordZero™ รุ่น A9T-LITE แบบด้ามจับ All-in-One Tower,A9T-LITE,฿399,,Subscription,https://www.lg.com/th/vacuum-cleaner/cordless-vacuum-cleaner/a9t-lite/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/vacuum-cleaner/2025/a9t-lite-dcgpeth/gallery/02_All-in-one_Tower_CalmingGreen_S9JGGTDWH_A9T-CORE_TH_Front-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\A9T-LITE.jpg,1
เครื่องกรองน้ำแบบตั้งพื้น รุ่น WS510SN สีขาว,WS510SN,฿424,฿849,Subscription,https://www.lg.com/th/water-purifiers/ws510sn/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/water-purifier/2025/ws510sn-awhplmt/gp1/gallery/basic/water-purifier-s1-2025-ws510sn-gallery-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WS510SN.jpg,1
เครื่องฟอกอากาศ LG PuriCare 360 Hit รุ่น AS60GHWG0,AS60GHWG0,฿224,฿449,Subscription,https://www.lg.com/th/air-puricare/puricare-360/as60ghwg0/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/air-purifier/as60ghwg0_abae_eath_th_c/350.jpg,images_all_pages\AS60GHWG0.jpg,1
เครื่องฟอกอากาศ LG PuriCare AeroHit รุ่น AS35GGW10,AS35GGW10,฿249,,Subscription,https://www.lg.com/th/air-puricare/puricare-360/as35ggw10/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-puricare/2025/as35ggx0-abae/gallery/re-gallery/AP2025_AeroHit-Web-Thumbnail_450x450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\AS35GGW10.jpg,1
ตู้แช่แข็ง 1 ประตู 5.8 คิว GN-304SLBR,GN-304SLBR,฿199,,Subscription New,https://www.lg.com/th/refrigerators/freezer/gn-304slbr/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/refrigerator/gn-304slbt_apzplmt_eath_th_c/basic_450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\GN-304SLBR.jpg,1
"จอมอนิเตอร์ 31.5"" 4K IPS Smart Monitor Swing จอสัมผัส ขาตั้งหมุนได้",32U889SA-W,฿299,฿599,Subscription,https://www.lg.com/th/monitors/smart-monitors/32u889sa-w/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/monitor/2025/32u889sa/gallery/smart-monitor-32u889sa-2025-gallery-swing-gallery-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\32U889SA-W.jpg,1
ตู้เย็น Instaview Multi-Door 18.7 คิว GC-V22FFQMB Smart Inverter,GC-V22FFQMB,฿374,฿749,Subscription,https://www.lg.com/th/refrigerators/multi-door-refrigerator/gc-v22ffqmb/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/refrigerator/2024/gc-v22ffqmb/gallery/01-basic/ref-f-next8-gc-v22ffqmb-large-01-front.png/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\GC-V22FFQMB.jpg,1
ตู้เย็น Multi-Door GV-B25FFGDB ขนาด 21.6 คิว ระบบ Smart Inverter Compressor,GV-B25FFGDB,฿349,฿699,Subscription,https://www.lg.com/th/refrigerators/multi-door-refrigerator/gv-b25ffgdb/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/refrigerator/2025/gv-b25ffgdb-abmplmt/gallery/05_T-VN6_Good_GV-B25FFGDB_BM_Front_450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\GV-B25FFGDB.jpg,1
